electricity_electric_vehicle,month,property_type,property_size,property_age,property_ownership,occupants,occupant_type,space_heating,water_heating,stove_heating,grill_heating,oven_heating,photo_voltaic,fridge,freezer,combi_fridge_freezer,oven,grill,hob,microwave,kettle,toaster,dishwasher,washing_machine,tumble_dryer,iron,tv,dvd_or_blueray,digital_tv_box,games_console,computer,tablet,electric_shower,ev_charger,swimming_pool,sauna
100.797,12th,PT.01,3.0,PA.02,OWN.01,2.0,OT.02,other,other,electric,electric,electric,SOL.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,0.0,0.0
63.9691,3th,PT.01,4.0,PA.02,OWN.01,4.0,OT.04,other,other,electric,electric,electric,SOL.02,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0.0,0.0
58.9967,4th,PT.01,4.0,PA.02,OWN.01,4.0,OT.04,other,other,electric,electric,electric,SOL.02,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0.0,0.0
74.6168,5th,PT.01,4.0,PA.02,OWN.01,4.0,OT.04,other,other,electric,electric,electric,SOL.02,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0.0,0.0
137.121,1th,PT.02,3.0,PA.03,OWN.01,2.0,OT.02,other,other,electric,other,electric,SOL.02,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,1,1.0,1.0
146.894,2th,PT.02,3.0,PA.03,OWN.01,2.0,OT.02,other,other,electric,other,electric,SOL.02,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,1,1.0,1.0
167.315,3th,PT.02,3.0,PA.03,OWN.01,2.0,OT.02,other,other,electric,other,electric,SOL.02,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,1,1.0,1.0
133.359,4th,PT.02,3.0,PA.03,OWN.01,2.0,OT.02,other,other,electric,other,electric,SOL.02,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,1,1.0,1.0
148.531,5th,PT.02,3.0,PA.03,OWN.01,2.0,OT.02,other,other,electric,other,electric,SOL.02,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,1,1.0,1.0
161.454,6th,PT.02,3.0,PA.03,OWN.01,2.0,OT.02,other,other,electric,other,electric,SOL.02,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,1,1.0,1.0
